algorithme,n_train,n_test,temps_entrainement,temps_test,accuracy,precision,recall,f1_score,balanced_accuracy
logisitc regression,52960,13239,0.0,0.065,0.8957,0.8949,0.8947,0.8947,0.8947
logisitc regression,52960,13239,0.0,0.0656,0.8957,0.8949,0.8947,0.8947,0.8947
logisitc regression,52960,13239,0.0,0.0655,0.8957,0.8949,0.8947,0.8947,0.8947
