algorithme,n_train,n_test,temps_entrainement,temps_test,accuracy,precision,recall,f1_score,balanced_accuracy
logistic regression,52960,13240,29.5089,0.0732,0.8958,0.895,0.8948,0.8948,0.8948
logistic regression,52960,13240,29.5089,0.0795,0.8958,0.895,0.8948,0.8948,0.8948
